"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
185,"Tod auf Eis","NDR","07.9.1986","Stoever und Brockmöller",5,"Wolfgang Graetz","Dietrich Haugk",""
186,"Wir werden ihn Mischa nennen","ORF","21.9.1986","Hirth",3,"Kurt Junek, Harald Mini","Kurt Junek","Letzter Fall dieses Ermittlers"
187,"Automord","HR","30.11.1986","Brinkmann",2,"Fritz Eckhardt","Wilm ten Haaf",""
188,"Freunde","WDR","28.12.1986","Schimanski und Thanner",14,"Horst Vocks, Thomas Wittenburg","Klaus Emmerich",""
189,"Die Macht des Schicksals","BR","25.1.1987","Lenz",6,"Klaus Richter, Ulf Miehe","Reinhard Schwabenitzky",""
190,"Eine Million Mäuse","SDR","22.2.1987","Schreitle",1,"Gerd Angermann","Theo Mezger",""
191,"Blindflug","HR","29.3.1987","Brinkmann",3,"Sylvia Hoffman","Sylvia Hoffman",""
192,"Tod im Elefantenhaus","NDR","20.4.1987","Stoever und Brockmöller",6,"Sven Freiheit, nach einem Roman von Peter Weissflog","Bernd Schadewald","Teile des Films wurden im Tierpark Hagenbeck gedreht."
193,"Spiel mit dem Feuer","SWF","17.5.1987","Wiegand",7,"Knut Boeser, Barbara Piazza","Wolfgang Storch",""
194,"Spielverderber","WDR","08.6.1987","Schimanski und Thanner",15,"Felix Huby, Hartmut Grund","Pete Ariel",""
195,"Pension Tosca oder Die Sterne lügen nicht","BR","12.7.1987","Scherrer",1,"Michael Kehlmann","Michael Kehlmann","Einziger Fall dieses ErmittlersMit 113:40 Minuten außergewöhnlich lang"
196,"Wunschlos tot","ORF","30.8.1987","Pfeifer",1,"Kurt Junek, nach einer Vorlage von Bert Steingötter","Kurt Junek","Die Gruppe Pfeifer wird von Inspektor Herbert Passini unterstützt."
197,"Gegenspieler","BR","13.9.1987","Lenz",7,"Ulf Miehe, Klaus Richter","Reinhard Schwabenitzky","Letzter Fall dieses Ermittlers"
198,"Voll auf Haß","NDR","08.11.1987","Stoever und Brockmöller",7,"Bernd Schadewald","Bernd Schadewald","Deutscher Civis Fernsehpreis 1988 an Bernd Schadewald"
199,"Der letzte Mord","ORF","29.11.1987","Pfeifer",2,"Fritz Eckhardt","Kurt Junek",""
200,"Zahn um Zahn","WDR","27.12.1987","Schimanski und Thanner",16,"Horst Vocks, Thomas Wittenburg, Hartmut Grund, Hajo Gies","Hajo Gies","Lief 1985, vor der Fernsehausstrahlung, als erster Tatort in Deutschland im Kino"
201,"Salü Palu","SR","24.1.1988","Palu",1,"Felix Huby","Hans-Christoph Blumenberg","Gastauftritt der Sängerin Sandra"
202,"Schuldlos schuldig","SFB","28.2.1988","Bülow",4,"Peter Scheibler, Fernsehbearbeitung Thomas Engel","Thomas Engel",""
203,"Sein letzter Wille","SDR","04.4.1988","Schreitle",2,"Hartmut Grund, Felix Huby","Hartmut Griesmayr",""
204,"Die Brüder","HR","17.4.1988","Brinkmann",4,"Heinz Schirk","Heinz Schirk",""
205,"Gebrochene Blüten","WDR","01.5.1988","Schimanski und Thanner",17,"Martin Gies","Hajo Gies",""
206,"Ausgeklinkt","SWF","23.5.1988","Wiegand",8,"Sylvia Hoffman","Sylvia Hoffman","Letzter Fall dieser Ermittlerin"
207,"Spuk aus der Eiszeit","NDR","10.7.1988","Stoever und Brockmöller",8,"Erich Loest","Stanislav Barabáš","Beklemmendes Kapitel deutsch-deutscher Beziehungen"
208,"Pleitegeier","NDR","07.8.1988","Stoever und Brockmöller",9,"Bruno Hampel","Pete Ariel","Heidi Kabel erstmals in einem „Tatort“ zu sehen."
209,"Einzelhaft","WDR","21.8.1988","Schimanski und Thanner",18,"Frank Göhre","Theodor Kotulla",""
210,"Tödlicher Treff","SDR","04.9.1988","Schreitle",3,"Peter Scheibler","Bruno Voges","Letzter Fall dieses Ermittlers"
211,"Feuerwerk für eine Leiche","ORF","02.10.1988","Pfeifer",3,"Bert Steingötter","Kurt Junek","Letzter Fall dieses Ermittlers"
212,"Winterschach","SR","13.11.1988","Palu",2,"Manfred Jacobs","Hans-Christoph Blumenberg",""
213,"Programmiert auf Mord","BR","11.12.1988","Brandenburg",1,"Peter Hemmer","Konrad Sabrautzky",""
214,"Moltke","WDR","28.12.1988","Schimanski und Thanner",19,"Jan Hinter, Thomas Wesskamp, Axel Götz","Hajo Gies","Adolf-Grimme-Preis in Gold"
215,"Kopflos","HR","22.1.1989","Brinkmann",5,"Hans Kelch","Sylvia Hoffman",""
216,"Schmutzarbeit","NDR","19.2.1989","Stoever und Brockmöller",10,"Ulrich Kressin","Werner Masten",""
217,"Der Pott","WDR","09.4.1989","Schimanski und Thanner",20,"Axel Götz, Thomas Wesskamp","Karin Hercher",""
218,"Bier vom Faß","BR","14.5.1989","Brandenburg",2,"Frank Lämmel","Rüdiger Graf","Letzter Fall dieses Ermittlers"
219,"Keine Tricks, Herr Bülow","SFB","28.5.1989","Bülow",5,"Harald Vock","Jürgen Roland",""
220,"Armer Nanosh","NDR","09.7.1989","Stoever und Brockmöller",11,"Martin Walser, Asta Scheib","Stanislav Barabáš",""
221,"Alles Theater","SFB","30.7.1989","Bülow",6,"Knut Boeser","Peter Adam","Letzter Fall dieses Ermittlers"
222,"Blutspur","WDR","20.8.1989","Schimanski und Thanner",21,"Peter Steinbach","Werner Masten","Jahrelang nicht wiederholt wegen schlechter Qualität und brutaler Darstellung von Gewalt gegen Minderheiten"
223,"Blinde Angst","ORF","01.10.1989","Fichtl",1,"Bert Steingötter","Kurt Junek",""
224,"Die Neue","SWF","29.10.1989","Odenthal",1,"Norbert Ehry","Peter Schulze-Rohr","Erster Fall für Lena Odenthal, die somit die derzeitig „dienstälteste“ Ermittlerin des Tatorts ist."
225,"Katjas Schweigen","WDR","03.12.1989","Schimanski und Thanner",22,"Uwe Erichsen","Hans Noever",""
226,"Herzversagen","SR","27.12.1989","Palu",3,"Hans Georg Thiemt, Hans Dieter Schreeb","Michael Mackenroth",""
227,"Lauf eines Todes","NDR","21.1.1990","Stoever und Brockmöller",12,"Lothar Hirschmann","Wolfgang Storch",""
228,"Tod einer Ärztin","HR","18.2.1990","Brinkmann",6,"Heinz Schirk","Heinz Schirk",""
229,"Howalds Fall","SRF","16.4.1990","Howald",1,"Johannes Bösiger, Urs Egger","Urs Egger","Einziger Fall dieses Ermittlers"
230,"Medizinmänner","WDR","13.5.1990","Schimanski und Thanner",23,"Chiem van Houweninge","Peter Carpentier",""
231,"Rendezvous","SWF","04.6.1990","Odenthal",2,"Martin Gies","Martin Gies",""
232,"Zabou","WDR","22.7.1990","Schimanski und Thanner",24,"Martin Gies, Axel Götz","Hajo Gies","Lief 1987 zunächst als Kinofilm"
233,"Zeitzünder","NDR","04.8.1990","Stoever und Brockmöller",13,"Detlef Müller","Pete Ariel",""
234,"Schimanskis Waffe","WDR","02.9.1990","Schimanski und Thanner",25,"Uwe Erichsen, Hans Noever, Wolfgang Hesse","Hans Noever",""
235,"Unter Brüdern","WDR/DFF","28.10.1990","Schimanski und Thanner",26,"Helmut Krätzig, Veith von Fürstenberg","Helmut Krätzig","Koproduktion mit der Reihe Polizeiruf 110"
236,"Seven Eleven","ORF","11.11.1990","Fichtl",2,"Peter Zingler","Kurt Junek",""
237,"Blue Lady","SR","09.12.1990","Palu",4,"Charlie Bick, Erhard Schmied","Hans-Christoph Blumenberg",""
238,"Animals","BR","01.1.1991","Batic und Leitmayr",1,"Max Zihlman, Veith von Fürstenberg","Walter Bannert",""
239,"Finale am Rothenbaum","NDR","20.1.1991","Stoever und Brockmöller",14,"Frank Göhre","Dieter Kehler",""
240,"Wer zweimal stirbt","BR","03.3.1991","Batic und Leitmayr",2,"Thomas Wesskamp, Stefan Cantz","Ilse Hofmann",""
241,"Rikki","HR","17.3.1991","Brinkmann",7,"Sylvia Hoffman","Sylvia Hoffman",""
242,"Kameraden","SRF","01.4.1991","Carlucci",1,"Markus Fischer","Markus Fischer","Carlucci war Howalds Assistent (Tatort 229) und wurde nun Hauptermittler"
243,"Tödliche Vergangenheit","SFB","20.5.1991","Markowitz",1,"Marianne Lüdcke","Marianne Lüdcke",""
244,"Bis zum Hals im Dreck","WDR","09.6.1991","Schimanski und Thanner",27,"Chiem van Houweninge, unter Mitarbeit von Wolfgang Hesse","Peter Carpentier",""
245,"Tini","SFB","07.7.1991","Markowitz",2,"Werner Waldhoff","Stanislav Barabáš",""
246,"Tod eines Mädchens","NDR","04.8.1991","Stoever und Brockmöller",15,"Horst Bieber","Jürgen Roland",""
247,"Telefongeld","ORF","15.9.1991","Fichtl",3,"Peter Zingler","Hans Noever",""
248,"Blutwurstwalzer","SFB","22.9.1991","Markowitz",3,"Horst Sczerba","Wolfgang Becker","Mit 117 Minuten Sendelänge eine der längsten Episoden"
249,"Tod im Häcksler","SWF","13.10.1991","Odenthal",3,"Stefan Dähnert, Nico Hofmann","Nico Hofmann","Gegenstand einer Debatte im Landtag Rheinland-Pfalz wegen diskriminierender Darstellung der Region als „Zerrbild eines ‚pfälzisch Sibiriens‘“."
250,"Kinderlieb","WDR","27.10.1991","Schimanski und Thanner",28,"Gaby Pauler, Hartmut Grund","Ilse Hofmann",""
251,"Die chinesische Methode","BR","10.11.1991","Batic und Leitmayr",3,"Volker Maria Arend, Andreas Missler-Morell","Maria Knilli",""
252,"Der Fall Schimanski","WDR","29.12.1991","Schimanski und Thanner",29,"Axel Götz, Thomas Wesskamp","Hajo Gies","Bayerischer Fernsehpreis 1992 für Götz George und Hajo Gies; Letzter Fall Schimanskis beim Tatort, später tritt Schimanski in einer eigenen Serie auf"
253,"Ein Fall für Ehrlicher","MDR","19.1.1992","Ehrlicher und Kain",1,"Hans-Werner Honert","Hans-Werner Honert","Erster Fall des ErmittlerteamsFilm wurde noch vom Deutschen Fernsehfunk produziert und vom MDR übernommen"
254,"Camerone","SR","16.2.1992","Palu",5,"Hans-Christoph Blumenberg","Hans-Christoph Blumenberg","Gastauftritt des US-Schauspielers Robert Vaughn"
255,"Verspekuliert","HR","15.3.1992","Brinkmann",8,"Peter Scheibler","Wolfgang Luderer",""
256,"Blindekuh","NDR","20.4.1992","Stoever und Brockmöller",16,"Ulrich Kressin","Werner Masten",""
257,"Experiment","NDR","03.5.1992","Stoever und Brockmöller",17,"Peter Sichrovsky, Dieter Hirschberg","Werner Masten",""
258,"Der Mörder und der Prinz","WDR","17.5.1992","Flemming, Koch und Ballauf",1,"Nikolaus Stein von Kamienski, Jacki Engelken, Wolfgang Hesse","Kaspar Heidelbach",""
259,"Tod aus der Vergangenheit","MDR","08.6.1992","Ehrlicher und Kain",2,"Hans-Werner Honert","Hans-Werner Honert","Film wurde noch vom Deutschen Fernsehfunk produziert und vom MDR übernommen"
260,"Stoevers Fall","NDR","05.7.1992","Stoever und Brockmöller",18,"Dieter Hirschberg,Willi Voss","Jürgen Roland","Mit 15,86 Millionen Zuschauern und einem Marktanteil von 52,80 Prozent die bis heute erfolgreichste Erstsendung nach dem 1992 geänderten Quotenmess-Modus (Stand: 14. April 2013)"
261,"Kinderspiel","ORF","16.8.1992","Fichtl",4,"Peter Zingler","Oliver Hirschbiegel","Adolf-Grimme-Preis 1993"
262,"Kainsmale","BR","20.9.1992","Batic und Leitmayr",4,"Wolfgang Hesse","Erwin Keusch",""
263,"Unversöhnlich","WDR","04.10.1992","Flemming, Koch und Ballauf",2,"Norbert Ehry","Ilse Hofmann",""
264,"Marion","SRF","11.10.1992","Carlucci und Gertsch",2,"Johannes Bösiger, Bruno Kaspar, Niklaus Schlienger","Bruno Kaspar","Letzter Fall dieses Ermittlers"
265,"Tod eines Wachmanns","WDR","25.10.1992","Flemming, Koch und Ballauf",3,"Axel Götz, Thomas Wesskamp","Ilse Hofmann",""
266,"Bienzle und der Biedermann","SDR","06.12.1992","Bienzle",1,"Felix Huby, Dieter de Lazzer; Mitarbeit Peter Adam","Peter Adam",""
267,"Falsche Liebe","SWF","20.12.1992","Odenthal",4,"Ulli Stephan","Susanne Zanke",""
268,"Amoklauf","NDR","03.1.1993","Stoever und Brockmöller",19,"Dieter Hirschberg, Werner Masten, Asta Scheib","Werner Masten","Brisantes Thema: Türken-Kurden-Konflikt"
269,"Berlin – beste Lage","SFB","10.1.1993","Markowitz",4,"Rainer Berg, Matti Geschonneck","Matti Geschonneck",""
270,"Renis Tod","HR","31.1.1993","Brinkmann",9,"Heinz Schirk","Heinz Schirk",""
271,"Verbranntes Spiel","MDR","28.2.1993","Ehrlicher und Kain",3,"Knut Boeser","Bodo Fürneisen",""
272,"Kesseltreiben","SR","07.3.1993","Palu",6,"Richard Binder","Peter Schulze-Rohr",""
273,"Bienzle und die schöne Lau","SDR","28.3.1993","Bienzle",2,"Felix Huby, Werner Zeindler","Hartmut Griesmayr",""
274,"Flucht nach Miami","WDR","18.4.1993","Flemming, Koch und Ballauf",4,"Nikolaus Stein von Kamienski, Jacki Engelken","Ulrich Stark",""
275,"Tod einer alten Frau","SFB","25.4.1993","Markowitz",5,"Claude Cueni, nach einer Idee von Günter Lamprecht","Matti Geschonneck",""
276,"Gehirnwäsche","SRF","06.6.1993","von Burg und Gertsch",1,"Peter Zeindler","Bernhard Giger",""
277,"Gefährliche Freundschaft","WDR","11.7.1993","Flemming, Koch und Ballauf",5,"Wolfgang Mühlbauer","Ulrich Stark",""
278,"Ein Sommernachtstraum","BR","25.7.1993","Batic und Leitmayr",5,"Franz Geiger, Hans Dräxler","Walter Bannert",""
279,"Alles Palermo","BR","29.8.1993","Batic und Leitmayr",6,"Josef Rödl","Josef Rödl",""
280,"Um Haus und Hof","NDR","26.9.1993","Stoever und Brockmöller",20,"Raimund Weber","Werner Masten",""
281,"Stahlwalzer","ORF","24.10.1993","Fichtl",5,"Peter Zingler","Hans Noever",""
282,"Die Zärtlichkeit des Monsters","SWF","31.10.1993","Odenthal",5,"Hartmut Schoen","Hartmut Schoen",""
283,"Bauernopfer","MDR","21.11.1993","Ehrlicher und Kain",4,"Vadim Glowna","Vadim Glowna",""
284,"Himmel und Erde","BR","28.11.1993","Batic und Leitmayr",7,"Ljubisa Ristic","Markus Fischer",""
285,"Deserteure","WDR","19.12.1993","Flemming, Koch und Ballauf",6,"Horst Vocks","Ilse Hofmann",""
286,"Bienzle und das Narrenspiel","SDR","23.1.1994","Bienzle",3,"Felix Huby","Hartmut Griesmayr",""
287,"Die Sache Baryschna","SFB","06.2.1994","Markowitz",6,"Andreas Pflüger","Matti Geschonneck",""
288,"Ein Wodka zuviel","NDR","06.3.1994","Stoever und Brockmöller",21,"Dieter Hirschberg","Werner Masten","Stoever in der Hand eines Geiselnehmers"
289,"Der Rastplatzmörder","HR","27.3.1994","Brinkmann",10,"Sylvia Hoffman","Sylvia Hoffman",""
290,"Mord in der Akademie","WDR","24.4.1994","Flemming, Koch und Ballauf",7,"Claus-Michael Rohne","Ulrich Stark",""
291,"Laura mein Engel","MDR","01.5.1994","Ehrlicher und Kain",5,"Richard Hey","Ottokar Runze",""
292,"Singvogel","NDR","23.5.1994","Stoever und Brockmöller",22,"Willi Voss (Pseudonym für Willi Pohl)","Michael Knof",""
293,"Klassen-Kampf","BR","05.6.1994","Batic und Leitmayr",8,"Friedemann Fromm","Friedemann Fromm",""
294,"Jetzt und Alles","MDR","31.7.1994","Ehrlicher und Kain",6,"Bernd Anger","Bernd Böhlich",""
295,"Die Frau an der Straße","WDR","14.8.1994","Flemming, Koch und Ballauf",8,"Nikolaus Stein von Kamienski, Jacki Engelken","Ilse Hofmann","KHM Ballauf verlässt das Team und wandert nach Kanada aus"
296,"Geschlossene Akten","SFB","04.9.1994","Markowitz",7,"Günter Lamprecht, Matti Geschonneck","Matti Geschonneck","Goldener Gong an Günter Lamprecht und Matti Geschonneck"
297,"Herrenboxer","SRF","16.10.1994","von Burg und Gertsch",2,"Martin Suter","Christian von Castelberg",""
298,"Ostwärts","ORF","30.10.1994","Fichtl",6,"Peter Zingler","Oliver Hirschbiegel",""
299,"Der schwarze Engel","SWF","13.11.1994","Odenthal",6,"Stefan Kolditz","Nina Grosse",""
300,"… und die Musi spielt dazu","BR","11.12.1994","Batic und Leitmayr",9,"Orkun Ertener","Hanns Christian Müller","Goldener Gong an Hanns Christian Müller"
301,"Tod eines Polizisten","NDR","01.1.1995","Stoever und Brockmöller",23,"Dieter Hirschberg, Gerd Reinhard","Jürgen Roland",""
302,"Ein ehrenwertes Haus","MDR","08.1.1995","Ehrlicher und Kain",7,"Stefan Kolditz","Petra Haffter",""
303,"Eine mörderische Rolle","HR","19.2.1995","Felber",1,"Rainer Bär","Rainer Bär","Einziger Fall dieses Ermittlers."
304,"Die Kampagne","SWF","05.3.1995","Odenthal",7,"Thomas Bohn","Thomas Bohn","Nominiert für den Adolf-Grimme-Preis"
305,"Endstation","SFB","12.3.1995","Markowitz",8,"Günter Lamprecht, Matti Geschonneck","Hagen Mueller-Stahl","Markowitz in der Hand eines Geiselnehmers, Letzter Fall dieses Ermittlers."
306,"Mordnacht","HR","26.3.1995","Brinkmann",11,"Heinz Schirk","Heinz Schirk",""
307,"Im Herzen Eiszeit","BR","02.4.1995","Batic und Leitmayr",10,"Peter Probst","Hans Noever","Rio Reiser in der Hauptrolle, Moshammer mit kurzer Gastrolle"
308,"Die schwarzen Bilder","WDR","17.4.1995","Flemming und Koch",9,"Susanne Schneider","Erwin Keusch",""
309,"Bienzle und der Mord im Park","SDR","07.5.1995","Bienzle",4,"Felix Huby","Dieter Schlotterbeck",""
310,"Tödliche Freundschaft","NDR","21.5.1995","Stoever und Brockmöller",24,"Raimund Weber","Herrmann Zschoche",""
311,"Rückfällig","SRF","05.6.1995","von Burg und Gertsch",3,"Ulrike Bliefert, Marcus P. Nester","Daniel Helfer",""
312,"Falsches Alibi","MDR","18.6.1995","Ehrlicher und Kain",8,"Peter Probst","Bernd Böhlich",""
313,"Tod eines Auktionators","WDR","25.6.1995","Flemming und Koch",10,"Claus-Michael Rohne","Erwin Keusch",""
314,"Mordauftrag","HR","09.7.1995","Brinkmann",12,"Hans Kelch","Wolfgang Luderer",""
315,"Bienzle und die Feuerwand","SDR","16.7.1995","Bienzle",5,"Felix Huby","Hartmut Griesmayr",""
316,"Herz As","WDR","30.7.1995","Flemming und Koch",11,"Horst Vocks","Ulrich Stark",""
317,"Die Freundin","ORF","13.8.1995","Fichtl",7,"Jürgen Kaizik, nach einer Idee von Albert Stein","Jürgen Kaizik",""
318,"Der König kehrt zurück","NDR","17.9.1995","Stoever und Brockmöller",25,"Felix Mitterer, Michael Gutmann","Michael Gutmann",""
319,"Bomben für Ehrlicher","MDR","01.10.1995","Ehrlicher und Kain",9,"Hans-Werner Honert","Hans Werner","Gastauftritte von Wim Thoelke und Christiane Gerboth"
320,"Eine todsichere Falle","SR","15.10.1995","Palu",7,"Alain Page","Hans-Christoph Blumenberg",""
321,"Blutiger Asphalt","BR","12.11.1995","Batic und Leitmayr",11,"Harald Göckeritz","Vivian Naefe",""
322,"Frau Bu lacht","BR","26.11.1995","Batic und Leitmayr",12,"Günter Schütter","Dominik Graf","Goldener Gong an Dominik Graf. RTL Goldener Löwe 1996 (Bildgestaltung) an Benedict Neuenfels"
323,"Der Spezialist","WDR","01.1.1996","Flemming und Koch",12,"Alexander Adolph und Markus Fischer, nach einer Idee von Markus Fischer","Markus Fischer",""
324,"Heilig Blut","WDR","14.1.1996","Flemming und Koch",13,"Dorothee Schön, nach einer Idee von Susanne Schneider und Dorothee Schön","Hartmut Griesmayr",""
325,"Freitagsmörder","HR","21.1.1996","Brinkmann",13,"Heinz Schirk","Heinz Schirk",""
326,"Schneefieber","SWF","18.2.1996","Odenthal",8,"Fred Breinersdorfer","Peter Schulze-Rohr",""
327,"Wer nicht schweigt, muß sterben","MDR","10.3.1996","Ehrlicher und Kain",10,"Klaus Richter","Hans Werner",""
328,"Tod auf Neuwerk","NDR","24.3.1996","Stoever und Brockmöller",26,"Raimund Weber","Helmut Förnbacher",""
329,"Bei Auftritt Mord","MDR","31.3.1996","Ehrlicher und Kain",11,"Peter Vogel","Hans Werner",""
330,"Das Mädchen mit der Puppe","WDR","08.4.1996","Flemming und Koch",14,"Peter Märthesheimer,Pea Fröhlich","Markus Fischer",""
331,"Fetischzauber","NDR","05.5.1996","Stoever und Brockmöller",27,"Thorsten Näter, nach einer Idee von Nicole Schürmann","Thorsten Näter",""
332,"Die Abrechnung","SRF","12.5.1996","von Burg und Gertsch",4,"Markus Fischer","Markus Fischer",""
333,"Kolportage","ORF","19.5.1996","Fichtl",8,"Peter Zingler, basierend auf einer Studie von Dr. Roman Hummel","Hans Noever","Letzter Fall dieses Ermittlers"
334,"Lockvögel","NDR","27.5.1996","Stoever und Brockmöller",28,"Jörg Grünler","Jörg Grünler",""
335,"Tod im Jaguar","SFB","09.6.1996","Roiter und Zorowski",1,"Peter Sandmeyer,Raimund Kusserow","Jens Becker","Nach Kritik an einer missverständlichen Vorab-Pressemitteilung mit „antijüdischen Passagen“ und an der filmischen Darstellung von jüdischen Geschäftemachern wurde der Film nicht wiederholt"
336,"Frankfurt–Miami","HR","23.6.1996","Brinkmann",14,"Jaques Labib,Frédéric Fajardie,Simon Michael","Klaus Biedermann","Koproduktion mit der französischen Reihe La Mondaine des Senders TF1, dort unter dem Titel Héroïne de Francfort"
337,"Aida","BR","07.7.1996","Batic und Leitmayr",13,"Wolfgang Hesse","Klaus Emmerich",""
338,"Mein ist die Rache","ORF","14.7.1996","Becker",1,"Dariusch Allahyari,Houchang Allahyari","Houchang Allahyari","Einziger Fall dieses Ermittlers"
339,"Der Phoenix-Deal","SFB","28.7.1996","Roiter und Zorowski",2,"Frank Grützbach","Peter Ristau",""
340,"Schlaflose Nächte","SWF","08.9.1996","Odenthal",9,"Hartmut Schoen","Hartmut Schoen",""
341,"Schattenwelt","BR","22.9.1996","Batic und Leitmayr",14,"Joachim Masannek, Josef Rödl","Josef Rödl",""
342,"Bienzle und der Traum vom Glück","SDR","29.9.1996","Bienzle",6,"Felix Huby","Dieter Schlotterbeck",""
343,"Der kalte Tod","SWF","06.10.1996","Odenthal und Kopper",10,"Sascha Arango Bueno","Nina Grosse",""
344,"Buntes Wasser","SFB","13.10.1996","Roiter und Zorowski",3,"Uwe Saeger","Pete Ariel",""
345,"Parteifreunde","NDR","27.10.1996","Stoever und Brockmöller",29,"Detlef Müller","Ulrich Stark",""
346,"Krokodilwächter","SFB","10.11.1996","Roiter und Zorowski",4,"Andreas Pflüger","Berno Kürten","Wegen brutaler, sexistischer und menschenverachtender Darstellungen kritisiert und nicht wiederholt"
347,"Der Entscheider","SR","24.11.1996","Palu",8,"Jochen Senf, Michael Syefried","Martin Buchhorn",""
348,"Perfect Mind – Im Labyrinth","BR","15.12.1996","Batic und Leitmayr",15,"Christoph Fromm","Friedemann Fromm","Goldener Gong an Natalia Wörner"
349,"Die Reise in den Tod","MDR","29.12.1996","Ehrlicher und Kain",12,"Hans-Werner Honert","Wolfgang Panzer","Ehrlicher wird zum Witwer"
350,"Tod im All","SWF","12.1.1997","Odenthal und Kopper",11,"Thomas Bohn","Thomas Bohn","Nominiert für den Adolf-Grimme-Preis. Gastauftritte von Nina Hagen und Anke Engelke"
351,"Akt in der Sonne","HR","02.2.1997","Brinkmann",15,"Heinz Schirk","Heinz Schirk",""
352,"Ausgespielt","NDR","23.2.1997","Stoever und Brockmöller",31,"Hans Werner Kettenbach","Jürgen Roland",""
353,"Eulenburg","HR","02.3.1997","Brinkmann",16,"Sylvia Hoffman","Sylvia Hoffman",""
354,"Brüder","WDR","23.3.1997","Flemming und Koch",15,"Wolfgang Brenner","Hartmut Griesmayr","Letzter Fall dieses Ermittlerteams"
355,"Gefährliche Übertragung","NDR","31.3.1997","Sommer",1,"Eva-Maria Mieke","Petra Haffter","Als Tatort ausgestrahlte Langfolge der Serie Die Kommissarin"
356,"Liebe, Sex, Tod","BR","06.4.1997","Batic und Leitmayr",16,"Christian Jeltsch","Peter Fratzscher",""
357,"Bierkrieg","MDR","13.4.1997","Ehrlicher und Kain",13,"Claudia Sontheim, Peter Zender","Wolfgang Panzer",""
358,"Hahnenkampf","ORF","20.4.1997","Kant und Varanasi",1,"Gerhard J. Rekel","Hans Noever","Fichtl wurde zum Chefinspektor befördert und ist Oberinspektor Kants Vorgesetzter"
359,"Alptraum","NDR","04.5.1997","Sommer",2,"Bodo Kirchhoff","Bodo Fürneisen","Als Tatort ausgestrahlte Langfolge der Serie Die Kommissarin, letzter Fall dieser Ermittlerin in der Tatort-Reihe"
360,"Morde ohne Leichen","ORF","19.5.1997","Kant und Varanasi",2,"Wolfgang Murnberger","Wolfgang Murnberger","Letzter Fall dieses Ermittlerteams"
361,"Mordsgeschäfte","SFB","25.5.1997","Roiter und Zorowski",5,"Andreas Pflüger","Jürgen Brauer",""
362,"Das Totenspiel","HR","01.6.1997","Brinkmann",17,"Sylvia Hoffman","Sylvia Hoffman",""
363,"Mord hinterm Deich","NDR","25.12.1996","Stoever und Brockmöller",30,"Raimund Weber, frei nach dem Roman „Tödliche Teestunde“ von Theodor J. Reisdorf","Olaf Kreinsen",""
364,"Tödlicher Galopp","MDR","29.6.1997","Ehrlicher und Kain",14,"Helmut Richter","Wolfgang Panzer",""
365,"Bienzle und der tiefe Sturz","SDR","06.7.1997","Bienzle",7,"Felix Huby","Peter F. Bringmann",""
366,"Der Tod spielt mit","MDR","27.7.1997","Ehrlicher und Kain",15,"Christian Limmer","Peter Vogel",""
367,"Schlüssel zum Mord","SFB","10.8.1997","Roiter und Zorowski",6,"Leo W. Helm","Sylvia Hoffman",""
368,"Geld oder Leben","SFB","07.9.1997","Roiter und Zorowski",7,"Berno Kürten","Berno Kürten",""
369,"Der Teufel","BR","14.9.1997","Batic und Leitmayr",17,"Alexander Adolph","Thomas Freundner",""
370,"Eiskalt","SFB","28.9.1997","Roiter und Zorowski",8,"Henning Borgelt, Lienhard Wawrzyn","Kurt Ockermüller","Gastauftritt von Eiskunstläuferin Peggy Schwarz"
371,"Willkommen in Köln","WDR","05.10.1997","Ballauf und Schenk",1,"Nikolaus Stein von Kamienski","Kaspar Heidelbach",""
372,"Bombenstimmung","WDR","12.10.1997","Ballauf und Schenk",2,"Peter Zingler, nach einer Idee von Michael Fengler und Margot Rothkirch","Kaspar Heidelbach",""
373,"Nahkampf","SWF","19.10.1997","Odenthal und Kopper",12,"Thomas Bohn","Thomas Bohn",""
374,"Undercover-Camping","NDR","02.11.1997","Stoever und Brockmöller",32,"Michael Illner","Jürgen Bretzinger",""
375,"Bluthunde","BR","21.12.1997","Batic und Leitmayr",18,"Norbert Ehry","Peter Schulze-Rohr",""
376,"Inflagranti","Radio Bremen","28.12.1997","Lürsen",1,"Sabine Thiesler","Petra Haffter",""
377,"Russisches Roulette","SRF","18.1.1998","von Burg und Gertsch",5,"Pascal Verdosci","Walter Weber",""
378,"Rosen für Nadja","HR","15.2.1998","Brinkmann",18,"Heinz Schirk","Heinz Schirk",""
379,"In der Falle","BR","01.3.1998","Batic und Leitmayr",19,"Orkun Ertener","Peter Fratzscher","Deutscher Civis Fernsehpreis 1998 an Orkun Ertener und Peter Fratzscher"
380,"Jagdfieber","SWF","29.3.1998","Odenthal und Kopper",13,"Fred Breinersdorfer","Peter Schulze-Rohr",""
381,"Blick in den Abgrund","SFB","05.4.1998","Roiter und Zorowski",9,"Andreas Pflüger","Jürgen Brauer",""
382,"Gefährliche Zeugin","HR","13.4.1998","Brinkmann",19,"Klaus Gietinger","Klaus Gietinger",""
